GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project1,com.servlet,ViewPastReimbServlet,43,208,10,12,13,64,11,3,1,2
Project1,com.servlet,ViewPendingReimbServlet,18,175,2,10,6,55,3,6,1,2
Project1,com.servlet,ApprovedReimbursementServlet,12,80,0,0,4,21,1,2,1,2
Project1,com.servlet,RegisterNewEmployeeServlet,34,127,0,0,14,38,1,2,1,2
Project1,com.servlet,AddNewReimbServlet,17,116,1,1,6,29,2,2,1,2
Project1,com.servlet,ViewPastEmpReimbServlet,256,0,22,0,81,0,14,0,3,0
Project1,com.servlet,LoginSuccessfulServlet,72,75,5,1,18,27,4,3,1,3
Project1,com.servlet,RejectedReimbursementServlet,12,67,0,0,4,18,1,2,1,2
Project1,com.servlet,UpdatedPasswordServlet,12,44,0,0,4,13,1,2,1,2
Project1,com.servlet,RequestForwarder,20,0,2,0,4,0,3,0,2,0
Project1,com.service,FinanceManagerService,5,12,0,0,1,5,1,2,1,2
Project1,com.model,Reimbursement,20,33,0,0,10,12,5,6,5,6
Project1,com.model,User,70,45,0,0,15,16,8,8,8,8
Project1,com.model,FinanceManager,0,10,0,0,0,2,0,1,0,1
Project1,com.model,Employee,0,10,0,0,0,2,0,1,0,1
Project1,com.util,MyHash,0,79,0,2,0,18,0,5,0,4
Project1,com.util,ConnectionUtil,3,32,0,2,2,10,0,4,0,3
Project1,com.controller,FinanceManagerController,27,12,4,0,9,5,3,2,1,2
Project1,com.dao,EmployeeDao,115,132,10,4,37,36,6,6,1,4
Project1,com.dao,FinanceManagerDao,113,3,2,0,25,1,3,1,2,1
Project1,com.dao,UpdatedPasswordDao,6,29,0,0,3,9,0,2,0,2
Project1,com.dao,LoginValidationDao,17,93,0,4,5,25,0,5,0,3
